id;employee_number;full_name;license_category;experience;hire_date
1;smoothly lest;requirement revere;over pranc;27831;2026-03-26
2;requite geez;nervous advocate;unlearn;31256;2026-03-25
3;boo;optimal;among;13902;2026-03-26
4;justly;knickers psst beneath;ew pupil p;2394;2026-03-25
5;dismal;victoriously;league sil;4453;2026-03-26
6;until perspire;zowie;denitrify;6934;2026-03-25
7;uselessly coaxingly ;since gadzooks;squid or;14039;2026-03-25
8;volunteer catalyst t;psst;inside ami;1309;2026-03-26
9;since tensely;phooey interchange;storyboard;10501;2026-03-25
10;unripe;as;receptor d;11441;2026-03-26
